shipping_is_express,countries_shipped_to,price,units_sold,origin_country,theme,uses_ad_boosts,sales
NO,34,16.0,100,CN,summer,NO,1600.0
NO,41,8.0,20000,CN,summer,YES,160000.0
NO,36,8.0,100,CN,summer,NO,800.0
NO,41,8.0,5000,CN,summer,YES,40000.0
NO,35,2.72,100,CN,summer,YES,272.0
NO,40,3.92,10,CN,summer,NO,39.2
NO,31,7.0,50000,CN,summer,NO,350000.0
NO,139,12.0,1000,CN,summer,NO,12000.0
NO,36,11.0,100,CN,summer,YES,1100.0
NO,33,5.78,5000,CN,summer,NO,28900.0
NO,25,5.79,1000,CN,summer,NO,5790.0
NO,40,6.0,100,CN,summer,YES,600.0
NO,38,1.91,1000,CN,summer,YES,1910.0
NO,43,5.79,1000,CN,summer,NO,5790.0
NO,36,2.0,20000,CN,summer,YES,40000.0
NO,41,11.0,1000,CN,summer,NO,11000.0
NO,34,11.0,10000,CN,summer,NO,110000.0
NO,41,5.0,100000,CN,summer,YES,500000.0
NO,43,9.0,20000,CN,summer,NO,180000.0
NO,41,7.0,1000,CN,summer,NO,7000.0
NO,69,11.0,5000,CN,summer,NO,55000.0
NO,41,5.0,20000,CN,summer,NO,100000.0
NO,51,11.0,1000,CN,summer,NO,11000.0
NO,138,7.0,5000,CN,summer,YES,35000.0
NO,43,5.71,1000,CN,summer,NO,5710.0
NO,41,9.0,1000,CN,summer,NO,9000.0
NO,60,9.0,1000,US,summer,NO,9000.0
NO,43,5.65,20000,CN,summer,NO,113000.0
NO,41,1.74,100,CN,summer,YES,174.0
NO,54,5.65,1000,CN,summer,NO,5650.0
NO,36,14.0,100,CN,summer,NO,1400.0
NO,38,5.65,1000,CN,summer,YES,5650.0
NO,46,8.0,1000,CN,summer,NO,8000.0
NO,22,2.66,5000,CN,summer,NO,13300.0
NO,45,9.0,10000,CN,summer,NO,90000.0
NO,31,11.0,1000,CN,summer,NO,11000.0
NO,40,8.0,100,CN,summer,YES,800.0
NO,43,14.0,5000,CN,summer,YES,70000.0
NO,43,5.8,100,CN,summer,YES,580.0
NO,41,13.0,1000,CN,summer,NO,13000.0
NO,40,9.0,50000,CN,summer,NO,450000.0
NO,43,7.0,10,CN,summer,NO,70.0
NO,22,12.0,100,CN,summer,YES,1200.0
NO,24,3.69,100,CN,summer,NO,369.0
NO,63,5.0,10000,CN,summer,YES,50000.0
NO,43,5.84,100,CN,summer,NO,584.0
NO,34,16.0,10,CN,summer,NO,160.0
NO,32,13.0,1000,CN,summer,NO,13000.0
NO,24,9.0,10000,CN,summer,NO,90000.0
NO,45,7.0,100,CN,summer,NO,700.0
NO,34,11.0,100,CN,summer,NO,1100.0
NO,40,5.84,1000,CN,summer,NO,5840.0
NO,41,1.0,1000,CN,summer,YES,1000.0
NO,25,11.0,1000,CN,summer,YES,11000.0
NO,33,9.0,5000,CN,summer,YES,45000.0
NO,28,6.0,1000,CN,summer,YES,6000.0
NO,40,1.0,100,Not specified,summer,NO,100.0
NO,41,9.0,5000,CN,summer,NO,45000.0
NO,23,6.0,100,CN,summer,NO,600.0
NO,40,11.0,1000,CN,summer,NO,11000.0
NO,139,7.0,50,CN,summer,NO,350.0
NO,33,5.0,50,CN,summer,YES,250.0
NO,35,2.72,100,CN,summer,YES,272.0
NO,29,5.87,1000,CN,summer,YES,5870.0
NO,25,11.0,5000,CN,summer,NO,55000.0
NO,20,8.0,100,CN,summer,NO,800.0
NO,40,14.0,1000,CN,summer,NO,14000.0
NO,40,2.0,100,CN,summer,NO,200.0
NO,30,8.0,10000,CN,summer,YES,80000.0
NO,118,5.79,1000,CN,summer,YES,5790.0
NO,41,8.0,100,CN,summer,YES,800.0
NO,49,4.94,10000,CN,summer,YES,49400.00000000001
NO,14,8.0,10000,CN,summer,NO,80000.0
NO,41,11.0,100,CN,summer,YES,1100.0
NO,25,8.0,10,CN,summer,NO,80.0
NO,41,9.0,50,CN,summer,YES,450.0
NO,31,7.0,100,CN,summer,NO,700.0
NO,36,11.0,10000,CN,summer,NO,110000.0
NO,55,8.0,100,CN,summer,NO,800.0
NO,35,5.83,10000,CN,summer,YES,58300.0
NO,63,8.0,1000,CN,summer,NO,8000.0
NO,31,5.77,100,CN,summer,YES,577.0
NO,30,5.9,10000,CN,summer,NO,59000.0
NO,43,6.0,100,CN,summer,NO,600.0
NO,35,7.0,50000,CN,summer,YES,350000.0
NO,48,8.0,10000,CN,summer,YES,80000.0
NO,13,12.0,1000,CN,summer,NO,12000.0
NO,29,5.78,20000,CN,summer,YES,115600.0
NO,43,12.0,5000,CN,summer,NO,60000.0
NO,35,11.0,20000,CN,summer,YES,220000.0
NO,43,8.0,100,CN,summer,NO,800.0
NO,41,11.0,100,CN,summer,YES,1100.0
NO,46,5.77,100000,CN,summer,NO,577000.0
NO,20,9.0,20000,CN,summer,NO,180000.0
NO,48,1.72,100,CN,summer,YES,172.0
NO,40,1.86,100,CN,summer,YES,186.0
NO,36,14.0,100,CN,summer,YES,1400.0
NO,24,3.69,1000,CN,summer,NO,3690.0
NO,43,5.79,1000,CN,summer,NO,5790.0
NO,45,11.0,100,CN,summer,YES,1100.0
NO,26,9.0,100,CN,summer,YES,900.0
NO,43,6.0,10000,CN,summer,NO,60000.0
NO,36,20.0,100,CN,summer,YES,2000.0
NO,42,5.66,5000,CN,summer,NO,28300.0
NO,33,8.0,100,CN,summer,NO,800.0
NO,39,8.0,1000,CN,summer,YES,8000.0
NO,35,6.0,1000,CN,summer,YES,6000.0
NO,23,11.0,5000,CN,summer,NO,55000.0
NO,26,7.0,1000,CN,summer,YES,7000.0
NO,31,11.0,10000,CN,summer,NO,110000.0
NO,41,5.8100000000000005,100,CN,summer,NO,581.0
NO,26,14.0,10000,CN,summer,NO,140000.0
NO,36,5.0,10,CN,summer,NO,50.0
NO,22,5.0,100,CN,summer,YES,500.0
NO,21,11.0,1000,CN,summer,NO,11000.0
NO,32,12.0,10,CN,summer,NO,120.0
NO,109,5.68,10,CN,summer,NO,56.8
NO,32,11.0,100,VE,summer,YES,1100.0
NO,52,17.0,10000,CN,summer,NO,170000.0
NO,40,7.0,100,CN,summer,NO,700.0
NO,35,12.0,50,CN,summer,YES,600.0
NO,41,7.0,100,CN,summer,NO,700.0
NO,41,7.0,50,CN,summer,NO,350.0
NO,41,11.0,1000,CN,summer,NO,11000.0
NO,42,12.0,100,CN,summer,NO,1200.0
NO,43,13.0,5000,CN,summer,NO,65000.0
NO,33,2.72,1,CN,summer,NO,2.72
NO,33,6.0,20000,CN,summer,YES,120000.0
NO,19,9.0,100,US,summer,YES,900.0
NO,47,5.0,50,CN,summer,NO,250.0
NO,30,5.86,1000,CN,summer,NO,5860.0
NO,23,2.0,10000,CN,summer,YES,20000.0
NO,41,7.0,5000,CN,summer,NO,35000.0
NO,35,5.66,100,CN,summer,NO,566.0
NO,43,13.0,5000,CN,summer,NO,65000.0
NO,28,8.0,5000,CN,summer,YES,40000.0
NO,35,11.0,1000,CN,summer,YES,11000.0
NO,31,8.0,20000,CN,summer,NO,160000.0
NO,58,16.0,100,CN,summer,YES,1600.0
NO,42,11.0,100,CN,summer,NO,1100.0
NO,25,11.0,5000,CN,summer,NO,55000.0
NO,32,8.0,20000,CN,summer,NO,160000.0
NO,41,14.0,1000,CN,summer,YES,14000.0
NO,127,7.0,100,CN,summer,NO,700.0
NO,50,12.0,20000,CN,summer,YES,240000.0
NO,132,7.0,1000,CN,summer,NO,7000.0
NO,26,2.0,100,CN,summer,YES,200.0
NO,18,6.0,100,CN,summer,YES,600.0
NO,38,8.0,1000,CN,summer,YES,8000.0
NO,125,8.0,20000,CN,summer,NO,160000.0
NO,43,8.0,5000,CN,summer,NO,40000.0
NO,30,11.0,1000,CN,summer,YES,11000.0
NO,45,3.66,5000,CN,summer,NO,18300.0
NO,40,1.68,100,CN,summer,YES,168.0
NO,29,13.0,100,CN,summer,NO,1300.0
NO,43,13.0,1000,CN,summer,YES,13000.0
NO,16,11.0,100,US,summer,YES,1100.0
NO,44,7.0,1000,CN,summer,NO,7000.0
NO,39,4.8100000000000005,10000,CN,summer,NO,48100.00000000001
NO,55,9.0,5000,US,summer,NO,45000.0
NO,51,18.0,100,CN,summer,NO,1800.0
NO,41,7.0,5000,CN,summer,YES,35000.0
NO,34,16.0,10,CN,summer,NO,160.0
NO,40,5.0,1000,CN,summer,YES,5000.0
NO,30,1.68,1000,CN,summer,YES,1680.0
NO,49,7.0,100,CN,summer,YES,700.0
NO,8,6.0,50,CN,summer,NO,300.0
NO,12,13.0,1000,CN,summer,YES,13000.0
NO,52,11.0,100,CN,summer,NO,1100.0
NO,46,7.0,5000,CN,summer,NO,35000.0
NO,38,12.0,100,CN,summer,NO,1200.0
NO,74,6.0,100,US,summer,NO,600.0
NO,49,6.0,5000,CN,summer,NO,30000.0
NO,28,8.0,100,CN,summer,YES,800.0
NO,32,8.0,100,CN,summer,NO,800.0
NO,137,11.0,1000,CN,summer,NO,11000.0
NO,55,6.0,5000,CN,summer,NO,30000.0
NO,42,11.0,1000,CN,summer,YES,11000.0
NO,35,9.0,100,CN,summer,YES,900.0
NO,40,8.0,100,CN,summer,NO,800.0
NO,38,3.78,1000,Not specified,summer,YES,3780.0
NO,124,8.0,100,CN,summer,NO,800.0
NO,49,6.0,100,CN,summer,YES,600.0
NO,32,8.0,1000,CN,summer,NO,8000.0
NO,42,9.0,20000,CN,summer,NO,180000.0
NO,65,5.65,5000,CN,summer,YES,28250.0
NO,36,3.0,100,CN,summer,NO,300.0
NO,23,8.0,50,CN,summer,NO,400.0
NO,43,5.74,1000,CN,summer,NO,5740.0
NO,8,5.0,10,CN,summer,NO,50.0
NO,38,8.0,20000,CN,summer,YES,160000.0
NO,138,3.67,10000,CN,summer,YES,36700.0
NO,132,7.0,1000,CN,summer,NO,7000.0
NO,33,8.0,5000,CN,summer,YES,40000.0
NO,41,11.0,1000,CN,summer,NO,11000.0
NO,42,8.0,50,CN,summer,NO,400.0
NO,35,22.0,1000,CN,summer,YES,22000.0
NO,41,8.0,10000,CN,summer,YES,80000.0
NO,47,19.0,1000,CN,summer,YES,19000.0
NO,39,11.0,1000,CN,summer,NO,11000.0
NO,37,6.0,1000,CN,summer,NO,6000.0
NO,41,7.0,5000,CN,summer,YES,35000.0
NO,20,7.0,10000,CN,summer,YES,70000.0
NO,17,8.0,100,CN,summer,NO,800.0
NO,39,14.0,100,CN,summer,NO,1400.0
NO,38,6.0,100,CN,summer,YES,600.0
NO,79,11.0,5000,CN,summer,NO,55000.0
NO,34,6.0,5000,CN,summer,NO,30000.0
NO,42,7.0,5000,CN,summer,NO,35000.0
NO,32,6.0,10000,CN,summer,YES,60000.0
NO,45,7.0,10000,CN,summer,NO,70000.0
NO,36,9.0,1000,CN,summer,YES,9000.0
NO,23,8.0,50,CN,summer,NO,400.0
NO,27,11.0,100,CN,summer,YES,1100.0
NO,38,8.0,100000,CN,summer,YES,800000.0
NO,39,18.0,10000,CN,summer,NO,180000.0
NO,78,11.0,10,CN,summer,NO,110.0
NO,39,4.83,50,VE,summer,YES,241.5
NO,37,8.0,100,CN,summer,YES,800.0
NO,38,5.85,1000,CN,summer,YES,5850.0
NO,27,11.0,100,CN,summer,YES,1100.0
NO,39,9.0,100,CN,summer,YES,900.0
NO,40,15.0,1000,CN,summer,NO,15000.0
NO,39,5.0,1000,CN,summer,NO,5000.0
NO,41,8.0,100,CN,summer,YES,800.0
NO,51,5.69,5000,US,summer,NO,28450.000000000004
NO,23,6.0,100,CN,summer,NO,600.0
NO,41,8.0,5000,CN,summer,YES,40000.0
NO,41,6.0,5000,CN,summer,YES,30000.0
NO,37,11.0,100,CN,summer,NO,1100.0
NO,27,1.72,100,CN,summer,YES,172.0
NO,37,5.78,10000,CN,summer,NO,57800.0
NO,48,11.0,5000,CN,summer,NO,55000.0
NO,24,12.0,1000,CN,summer,NO,12000.0
NO,41,8.0,1000,CN,summer,NO,8000.0
NO,33,1.89,100,CN,summer,NO,189.0
NO,43,12.0,1000,CN,summer,NO,12000.0
NO,20,6.0,10000,CN,summer,YES,60000.0
NO,18,4.0,5000,CN,summer,YES,20000.0
NO,43,7.0,100,CN,summer,NO,700.0
NO,21,8.0,100,CN,summer,NO,800.0
NO,45,5.0,100,CN,summer,NO,500.0
NO,48,5.84,10000,CN,summer,NO,58400.0
NO,44,8.0,10000,CN,summer,NO,80000.0
NO,40,19.0,5000,CN,summer,NO,95000.0
NO,42,11.0,100,CN,summer,YES,1100.0
NO,25,3.85,50,CN,summer,NO,192.5
NO,25,9.0,1000,CN,summer,YES,9000.0
NO,38,8.0,7,CN,summer,NO,56.0
NO,36,11.0,1000,CN,summer,NO,11000.0
NO,40,6.0,20000,CN,summer,YES,120000.0
NO,41,5.0,100000,CN,summer,NO,500000.0
NO,36,16.0,100,CN,summer,YES,1600.0
NO,28,13.0,100,CN,summer,NO,1300.0
NO,40,9.0,100,CN,summer,YES,900.0
NO,104,7.0,100,CN,summer,YES,700.0
NO,40,6.0,20000,CN,summer,NO,120000.0
NO,35,8.0,10000,CN,summer,YES,80000.0
NO,43,4.7,100,CN,summer,YES,470.0
NO,45,4.0,10000,CN,summer,YES,40000.0
NO,41,8.0,5000,CN,summer,YES,40000.0
NO,43,16.0,1000,CN,summer,YES,16000.0
NO,80,11.0,100,CN,summer,NO,1100.0
NO,43,5.77,10000,CN,summer,NO,57699.99999999999
NO,37,8.0,10000,CN,summer,NO,80000.0
NO,40,14.0,100,CN,summer,NO,1400.0
NO,40,6.0,100,CN,summer,NO,600.0
NO,42,13.0,100,CN,summer,YES,1300.0
NO,43,11.0,20000,CN,summer,NO,220000.0
NO,48,4.0,5000,CN,summer,NO,20000.0
NO,44,5.77,1000,CN,summer,NO,5770.0
NO,41,9.0,20000,CN,summer,NO,180000.0
NO,42,11.0,10000,CN,summer,YES,110000.0
NO,139,7.0,50,CN,summer,NO,350.0
NO,51,9.0,1000,CN,summer,YES,9000.0
NO,43,5.8100000000000005,1000,CN,summer,YES,5810.000000000001
NO,54,11.0,100,CN,summer,NO,1100.0
NO,37,11.0,20000,CN,summer,NO,220000.0
NO,42,8.0,5000,CN,summer,YES,40000.0
NO,46,11.0,10000,CN,summer,NO,110000.0
NO,24,6.0,5000,CN,summer,NO,30000.0
NO,41,5.0,5000,CN,summer,NO,25000.0
NO,38,6.0,5000,CN,summer,YES,30000.0
NO,43,8.0,5000,CN,summer,YES,40000.0
NO,35,13.0,100,CN,summer,NO,1300.0
NO,68,11.0,100,CN,summer,NO,1100.0
NO,43,5.65,10000,CN,summer,NO,56500.0
NO,39,4.83,50,VE,summer,YES,241.5
NO,43,8.0,10000,CN,summer,NO,80000.0
NO,34,3.0,100,CN,summer,YES,300.0
NO,25,8.0,50,CN,summer,NO,400.0
NO,18,13.0,10000,CN,summer,NO,130000.0
NO,35,11.0,5000,CN,summer,NO,55000.0
NO,37,7.0,10,CN,summer,NO,70.0
NO,29,5.0,5000,CN,summer,NO,25000.0
NO,39,6.0,1000,CN,summer,NO,6000.0
NO,42,13.0,100,CN,summer,YES,1300.0
NO,49,3.0,20000,CN,summer,YES,60000.0
NO,43,12.0,5000,CN,summer,NO,60000.0
NO,38,11.0,100,CN,summer,YES,1100.0
NO,43,8.0,10000,CN,summer,NO,80000.0
NO,38,5.85,1000,CN,summer,YES,5850.0
NO,27,6.0,100,CN,summer,NO,600.0
NO,71,9.0,1000,US,summer,NO,9000.0
NO,24,8.0,1000,CN,summer,NO,8000.0
NO,41,5.0,100,CN,summer,NO,500.0
NO,23,8.0,50,CN,summer,NO,400.0
NO,41,9.0,20000,CN,summer,YES,180000.0
NO,28,8.0,10000,CN,summer,YES,80000.0
NO,47,4.8100000000000005,100,CN,summer,YES,481.00000000000006
NO,31,14.0,100,CN,summer,YES,1400.0
NO,25,8.0,50,CN,summer,NO,400.0
NO,33,8.0,100,CN,summer,NO,800.0
NO,43,7.0,100,CN,summer,YES,700.0
NO,40,3.0,100,CN,summer,NO,300.0
NO,38,8.0,1000,CN,summer,NO,8000.0
NO,20,8.0,100,CN,summer,NO,800.0
NO,14,12.0,5000,CN,summer,NO,60000.0
NO,43,11.0,100,CN,summer,YES,1100.0
NO,35,8.0,100,CN,summer,YES,800.0
NO,38,8.0,100,CN,summer,NO,800.0
NO,41,6.0,1000,CN,summer,NO,6000.0
NO,70,11.0,100,CN,summer,NO,1100.0
NO,28,8.0,100,CN,summer,YES,800.0
NO,36,8.0,1000,CN,summer,NO,8000.0
NO,44,9.0,10000,CN,summer,YES,90000.0
NO,41,14.0,10,CN,summer,NO,140.0
NO,19,13.0,5000,CN,summer,YES,65000.0
NO,43,4.84,100,CN,summer,YES,484.0
NO,43,5.0,1000,CN,summer,NO,5000.0
NO,40,14.0,5000,CN,summer,YES,70000.0
NO,27,3.0,100,CN,summer,YES,300.0
NO,47,7.0,10000,CN,summer,NO,70000.0
NO,29,5.0,50000,CN,summer,NO,250000.0
NO,22,9.0,100,US,summer,NO,900.0
NO,138,9.0,1000,CN,summer,YES,9000.0
NO,15,8.0,1000,CN,summer,NO,8000.0
NO,19,11.0,2,CN,summer,NO,22.0
NO,27,19.0,5000,CN,summer,NO,95000.0
NO,39,8.0,10000,CN,summer,NO,80000.0
NO,32,7.0,10000,CN,summer,NO,70000.0
NO,26,9.0,100,CN,summer,YES,900.0
NO,29,12.0,5000,CN,summer,NO,60000.0
NO,21,8.0,100,CN,summer,NO,800.0
NO,43,7.0,1000,CN,summer,NO,7000.0
NO,41,8.0,1000,CN,summer,YES,8000.0
NO,10,8.0,10,CN,summer,YES,80.0
NO,39,11.0,20000,CN,summer,NO,220000.0
NO,33,11.0,1,CN,summer,NO,11.0
NO,38,3.7,100,CN,summer,YES,370.0
NO,37,14.0,5000,CN,summer,YES,70000.0
NO,38,11.0,5000,CN,summer,YES,55000.0
NO,27,18.0,1000,CN,summer,YES,18000.0
NO,38,12.0,20000,CN,summer,YES,240000.0
NO,43,14.0,1000,CN,summer,YES,14000.0
NO,41,8.0,50,CN,summer,NO,400.0
NO,45,1.77,10000,CN,summer,YES,17700.0
NO,44,3.73,5000,CN,summer,NO,18650.0
NO,43,8.0,100,CN,summer,NO,800.0
NO,42,18.0,5000,CN,summer,YES,90000.0
NO,48,4.0,100,CN,summer,YES,400.0
NO,41,5.68,10000,CN,summer,NO,56800.0
NO,43,14.0,5000,CN,summer,YES,70000.0
NO,35,1.75,50,CN,summer,YES,87.5
NO,43,14.0,100,CN,summer,YES,1400.0
NO,25,8.0,1000,CN,summer,YES,8000.0
NO,41,6.0,10000,CN,summer,NO,60000.0
NO,24,5.89,5000,CN,summer,NO,29450.0
NO,39,5.0,1000,CN,summer,YES,5000.0
NO,38,2.71,20000,CN,summer,NO,54200.0
NO,42,11.0,100,CN,summer,NO,1100.0
NO,44,16.0,100,CN,summer,NO,1600.0
NO,37,7.0,5000,CN,summer,NO,35000.0
NO,44,4.0,50,CN,summer,YES,200.0
NO,41,6.0,100,CN,summer,YES,600.0
NO,48,8.0,10,CN,summer,NO,80.0
NO,50,4.0,100,CN,summer,YES,400.0
NO,41,11.0,10000,CN,summer,NO,110000.0
NO,41,12.0,5000,CN,summer,NO,60000.0
NO,17,11.0,1000,CN,summer,NO,11000.0
NO,22,1.91,10000,CN,summer,NO,19100.0
NO,45,5.7,50000,CN,summer,NO,285000.0
NO,40,8.0,5000,CN,summer,NO,40000.0
NO,43,9.0,1000,CN,summer,NO,9000.0
NO,33,5.72,100,CN,summer,NO,572.0
NO,41,2.0,100,CN,summer,NO,200.0
NO,43,9.0,1000,CN,summer,NO,9000.0
NO,42,15.0,10,CN,summer,NO,150.0
NO,36,20.0,50,CN,summer,NO,1000.0
NO,42,6.0,1000,CN,summer,YES,6000.0
